Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
GAB^G,"Gabelli Equity Trust, Inc. (The)",23.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gab^g
GAB^H,"Gabelli Equity Trust, Inc. (The)",23.515,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gab^h
GAB^J,"Gabelli Equity Trust, Inc. (The)",25.2098,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gab^j
GAM,"General American Investors, Inc.",31.93,$817.65M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gam
GAM^B,"General American Investors, Inc.",26.2125,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gam^b
GATX,GATX Corporation,74.61,$2.81B,n/a,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/gatx
GBAB,Guggenheim Taxable Municipal Managed Duration Trst,22.88,$398.49M,2010,n/a,n/a,https://www.nasdaq.com/symbol/gbab
GBL,"Gamco Investors, Inc.",21.08,$612.69M,1999,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/gbl
GBX,"Greenbrier Companies, Inc. (The)",42.55,$1.38B,1994,Capital Goods,Railroads,https://www.nasdaq.com/symbol/gbx
GCAP,"GAIN Capital Holdings, Inc.",6.39,$282.96M,2010,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/gcap
GCI,TEGNA Inc.,11,$1.24B,2015,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/gci
GCO,Genesco Inc.,44.04,$889.28M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/gco
GCP,GCP Applied Technologies Inc.,24.96,$1.8B,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gcp
GCV,"Gabelli Convertible and Income Securities Fund, Inc. (The)",5.1,$73.31M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gcv
GCV^B,"Gabelli Convertible and Income Securities Fund, Inc. (The)",26.53,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gcv^b
GD,General Dynamics Corporation,172.76,$49.88B,n/a,Capital Goods,Marine Transportation,https://www.nasdaq.com/symbol/gd
GDDY,GoDaddy Inc.,69.79,$12.11B,2015,Technology,EDP Services,https://www.nasdaq.com/symbol/gddy
GDI,"Gardner Denver Holdings, Inc.",25.15,$5B,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/gdi
GDL,The GDL Fund,9.37,$170.99M,2007,n/a,n/a,https://www.nasdaq.com/symbol/gdl
GDL^C,The GDL Fund,50.44,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gdl^c
GDO,Western Asset Global Corporate Defined Opportunity Fund Inc.,16.42,$245.32M,2009,n/a,n/a,https://www.nasdaq.com/symbol/gdo
GDOT,Green Dot Corporation,73.1,$3.85B,2010,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/gdot
GDV,Gabelli Dividend,20.82,$1.72B,2003,n/a,n/a,https://www.nasdaq.com/symbol/gdv
